Org_Code,Region_Id
REM,R1
RCF,R1
RBS,R1
RFF,R1
RXL,R1
RMC,R1
RAE,R1
RWY,R1
RLN,R1
RJR,R1
RXP,R1
RP5,R1
RJN,R1
RXR,R1
RR7,R1
RCD,R1
RWA,R1
RXN,R1
RR8,R1
RBQ,R1
R0A,R1
REP,R1
RBT,R1
RXF,R1
RNL,R1
RVW,R1
RJL,R1
RTF,R1
RW6,R1
RQ6,R1
RM3,R1
RCU,R1
RHQ,R1
RTR,R1
RE9,R1
RVY,R1
RBN,R1
RWJ,R1
RMP,R1
RBV,R1
REN,R1
RTD,R1
RFR,R1
RET,R1
RTX,R1
RWW,R1
RBL,R1
RRF,R1
RCB,R1
RDD,R2
RC1,R2
RQ3,R2
RJF,R2
RGT,R2
RFS,R2
RDE,R2
RTG,R2
RWH,R2
R1L,R2
RLT,R2
RR1,R2
RGQ,R2
RGP,R2
RNQ,R2
RC9,R2
RQ8,R2
RD8,R2
RM1,R2
RGN,R2
RNS,R2
RX1,R2
RGM,R2
RXK,R2
RK5,R2
RXW,R2
RJC,R2
RAJ,R2
RNA,R2
RQW,R2
RCX,R2
RL1,R2
RRJ,R2
RL4,R2
RWD,R2
RRK,R2
RKB,R2
RWE,R2
RJE,R2
RBK,R2
RWG,R2
RGR,R2
RWP,R2
RLQ,R2
RF4,R3
R1H,R3
RQM,R3
RJ6,R3
RVR,R3
RP4,R3
RJ1,R3
RQX,R3
RYJ,R3
RJZ,R3
RAX,R3
RJ2,R3
RAP,R3
RT3,R3
RAL,R3
RAN,R3
RJ7,R3
RAS,R3
RPY,R3
RKE,R3
RRV,R3
RTK,R4
RXH,R4
RXQ,R4
RN7,R4
RBD,R4
RVV,R4
RXC,R4
RDU,R4
RTE,R4
RN3,R4
RN5,R4
R1F,R4
RWF,R4
RPA,R4
RVJ,R4
RBZ,R4
RTH,R4
RK9,R4
RD3,R4
RHU,R4
RPC,R4
RHW,R4
REF,R4
RH8,R4
RA2,R4
RD1,R4
RNZ,R4
RTP,R4
RBA,R4
RDZ,R4
RA9,R4
RHM,R4
RA7,R4
RYR,R4
RA3,R4
RA4,R4
