Org_Code,Region_Id
REM,1
RCF,1
RBS,1
RFF,1
RXL,1
RMC,1
RAE,1
RWY,1
RLN,1
RJR,1
RXP,1
RP5,1
RJN,1
RXR,1
RR7,1
RCD,1
RWA,1
RXN,1
RR8,1
RBQ,1
R0A,1
REP,1
RBT,1
RXF,1
RNL,1
RVW,1
RJL,1
RTF,1
RW6,1
RQ6,1
RM3,1
RCU,1
RHQ,1
RTR,1
RE9,1
RVY,1
RBN,1
RWJ,1
RMP,1
RBV,1
REN,1
RTD,1
RFR,1
RET,1
RTX,1
RWW,1
RBL,1
RRF,1
RCB,1
RDD,2
RC1,2
RQ3,2
RJF,2
RGT,2
RFS,2
RDE,2
RTG,2
RWH,2
R1L,2
RLT,2
RR1,2
RGQ,2
RGP,2
RNQ,2
RC9,2
RQ8,2
RD8,2
RM1,2
RGN,2
RNS,2
RX1,2
RGM,2
RXK,2
RK5,2
RXW,2
RJC,2
RAJ,2
RNA,2
RQW,2
RCX,2
RL1,2
RRJ,2
RL4,2
RWD,2
RRK,2
RKB,2
RWE,2
RJE,2
RBK,2
RWG,2
RGR,2
RWP,2
RLQ,2
RF4,3
R1H,3
RQM,3
RJ6,3
RVR,3
RP4,3
RJ1,3
RQX,3
RYJ,3
RJZ,3
RAX,3
RJ2,3
RAP,3
RT3,3
RAL,3
RAN,3
RJ7,3
RAS,3
RPY,3
RKE,3
RRV,3
RTK,4
RXH,4
RXQ,4
RN7,4
RBD,4
RVV,4
RXC,4
RDU,4
RTE,4
RN3,4
RN5,4
R1F,4
RWF,4
RPA,4
RVJ,4
RBZ,4
RTH,4
RK9,4
RD3,4
RHU,4
RPC,4
RHW,4
REF,4
RH8,4
RA2,4
RD1,4
RNZ,4
RTP,4
RBA,4
RDZ,4
RA9,4
RHM,4
RA7,4
RYR,4
RA3,4
RA4,4
